,0
0,0.0
1,0.0
2,3.0
3,80.0
4,0.0
5,17.0
6,0.0
7,22.0
8,0.0
9,10.0
10,1.0
11,4.0
12,173.0
13,0.0
14,22.0
15,0.0
16,22.0
17,0.0
18,11.0
19,2.0
20,1.0
21,190.0
22,0.0
23,47.0
24,0.0
25,34.0
26,0.0
27,11.0
28,3.0
29,0.0
30,167.0
31,0.0
32,50.0
33,0.0
34,32.0
35,0.0
36,9.0
37,4.0
38,0.0
39,118.0
40,0.0
41,53.0
42,0.0
43,41.0
44,0.0
45,20.0
46,5.0
47,0.0
48,100.0
49,0.0
50,59.0
51,0.0
52,42.0
53,0.0
54,29.0
55,6.0
56,0.0
57,75.0
58,0.0
59,52.0
60,0.0
61,28.0
62,0.0
63,38.0
64,7.0
65,0.0
66,62.0
67,0.0
68,53.0
69,0.0
70,40.0
71,0.0
72,33.0
73,0.0
74,2.0
75,182.0
76,0.0
77,18.0
78,0.0
79,21.0
80,0.0
81,12.0
82,1.0
83,4.0
84,203.0
85,0.0
86,19.0
87,0.0
88,23.0
89,0.0
90,11.0
91,2.0
92,1.0
93,225.0
94,0.0
95,43.0
96,0.0
97,32.0
98,0.0
99,5.0
100,3.0
101,0.0
102,182.0
103,0.0
104,51.0
105,0.0
106,33.0
107,0.0
108,9.0
109,4.0
110,0.0
111,125.0
112,0.0
113,51.0
114,0.0
115,43.0
116,0.0
117,18.0
118,5.0
119,0.0
120,97.0
121,0.0
122,62.0
123,0.0
124,42.0
125,0.0
126,30.0
127,6.0
128,0.0
129,77.0
130,0.0
131,55.0
132,0.0
133,31.0
134,0.0
135,34.0
136,7.0
137,0.0
138,62.0
139,0.0
140,53.0
141,0.0
142,35.0
143,0.0
144,35.0
145,0.0
146,2.0
147,167.0
148,0.0
149,16.0
150,0.0
151,20.0
152,0.0
153,14.0
154,1.0
155,4.0
156,201.0
157,0.0
158,19.0
159,0.0
160,27.0
161,0.0
162,11.0
163,2.0
164,1.0
165,228.0
166,0.0
167,47.0
168,0.0
169,33.0
170,0.0
171,6.0
172,3.0
173,0.0
174,183.0
175,0.0
176,51.0
177,0.0
178,31.0
179,0.0
180,9.0
181,4.0
182,0.0
183,119.0
184,0.0
185,52.0
186,0.0
187,39.0
188,0.0
189,23.0
190,5.0
191,0.0
192,98.0
193,0.0
194,58.0
195,0.0
196,48.0
197,0.0
198,30.0
199,6.0
200,0.0
201,81.0
202,0.0
203,56.0
204,0.0
205,27.0
206,0.0
207,33.0
208,7.0
209,0.0
210,63.0
211,0.0
212,53.0
213,0.0
214,35.0
215,0.0
216,39.0
217,0.0
218,2.0
219,157.0
220,0.0
221,19.0
222,0.0
223,21.0
224,0.0
225,13.0
226,1.0
227,4.0
228,197.0
229,0.0
230,18.0
231,0.0
232,22.0
233,0.0
234,11.0
235,2.0
236,1.0
237,228.0
238,0.0
239,42.0
240,0.0
241,32.0
242,0.0
243,8.0
244,3.0
245,0.0
246,188.0
247,0.0
248,51.0
249,0.0
250,30.0
251,0.0
252,12.0
253,4.0
254,0.0
255,119.0
256,0.0
257,51.0
258,0.0
259,44.0
260,0.0
261,18.0
262,5.0
263,0.0
264,96.0
265,0.0
266,64.0
267,0.0
268,43.0
269,0.0
270,29.0
271,6.0
272,0.0
273,76.0
274,0.0
275,53.0
276,0.0
277,29.0
278,0.0
279,32.0
280,7.0
281,0.0
282,61.0
283,0.0
284,52.0
285,0.0
286,42.0
287,0.0
288,33.0
289,0.0
290,2.0
291,132.0
292,0.0
293,16.0
294,0.0
295,24.0
296,0.0
297,11.0
298,1.0
299,4.0
300,194.0
301,0.0
302,22.0
303,0.0
304,22.0
305,0.0
306,12.0
307,2.0
308,1.0
309,226.0
310,0.0
311,45.0
312,0.0
313,32.0
314,0.0
315,6.0
316,3.0
317,0.0
318,181.0
319,0.0
320,51.0
321,0.0
322,31.0
323,0.0
324,8.0
325,4.0
326,0.0
327,121.0
328,0.0
329,51.0
330,0.0
331,41.0
332,0.0
333,20.0
334,5.0
335,0.0
336,98.0
337,0.0
338,58.0
339,0.0
340,43.0
341,0.0
342,29.0
343,6.0
344,0.0
345,74.0
346,0.0
347,49.0
348,0.0
349,32.0
350,0.0
351,32.0
352,7.0
353,0.0
354,60.0
355,0.0
356,50.0
357,0.0
358,39.0
359,0.0
360,34.0
361,0.0
362,2.0
363,119.0
364,0.0
365,20.0
366,0.0
367,21.0
368,0.0
369,11.0
370,1.0
371,4.0
372,184.0
373,0.0
374,18.0
375,0.0
376,27.0
377,0.0
378,12.0
379,2.0
380,1.0
381,229.0
382,0.0
383,48.0
384,0.0
385,32.0
386,0.0
387,5.0
388,3.0
389,0.0
390,181.0
391,0.0
392,49.0
393,0.0
394,35.0
395,0.0
396,7.0
397,4.0
398,0.0
399,124.0
400,0.0
401,51.0
402,0.0
403,41.0
404,0.0
405,18.0
406,5.0
407,0.0
408,95.0
409,0.0
410,59.0
411,0.0
412,42.0
413,0.0
414,29.0
415,6.0
416,0.0
417,81.0
418,0.0
419,54.0
420,0.0
421,29.0
422,0.0
423,33.0
424,7.0
425,0.0
426,61.0
427,0.0
428,51.0
429,0.0
430,41.0
431,0.0
432,34.0
433,0.0
434,2.0
435,99.0
436,0.0
437,18.0
438,0.0
439,20.0
440,0.0
441,14.0
442,1.0
443,4.0
444,188.0
445,0.0
446,23.0
447,0.0
448,24.0
449,0.0
450,11.0
451,2.0
452,1.0
453,226.0
454,0.0
455,41.0
456,0.0
457,35.0
458,0.0
459,6.0
460,3.0
461,0.0
462,185.0
463,0.0
464,49.0
465,0.0
466,32.0
467,0.0
468,7.0
469,4.0
470,0.0
471,121.0
472,0.0
473,54.0
474,0.0
475,40.0
476,0.0
477,24.0
478,5.0
479,0.0
480,96.0
481,0.0
482,59.0
483,0.0
484,43.0
485,0.0
486,30.0
487,6.0
488,0.0
489,77.0
490,0.0
491,54.0
492,0.0
493,28.0
494,0.0
495,33.0
496,7.0
497,0.0
498,62.0
499,0.0
500,54.0
501,0.0
502,41.0
503,0.0
504,33.0
505,0.0
506,2.0
507,79.0
508,0.0
509,16.0
510,0.0
511,27.0
512,0.0
513,11.0
514,1.0
515,4.0
516,170.0
517,0.0
518,21.0
519,0.0
520,23.0
521,0.0
522,11.0
523,2.0
524,1.0
525,226.0
526,0.0
527,42.0
528,0.0
529,33.0
530,0.0
531,5.0
532,3.0
533,0.0
534,182.0
535,0.0
536,51.0
537,0.0
538,35.0
539,0.0
540,7.0
541,4.0
542,0.0
543,123.0
544,0.0
545,56.0
546,0.0
547,44.0
548,0.0
549,18.0
550,5.0
551,0.0
552,97.0
553,0.0
554,64.0
555,0.0
556,45.0
557,0.0
558,30.0
559,6.0
560,0.0
561,76.0
562,0.0
563,53.0
564,0.0
565,28.0
566,0.0
567,36.0
568,7.0
569,0.0
570,66.0
571,0.0
