0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
3.0,1.0,3.0,2.0,2.0,5.0,4.0,3.0,7.0,5.0,6.0,12.0,6.0,6.0,15.0,13.0,5.0,5.0,8.0,7.0,11.0,12.0,6.0,12.0,23.0,23.0,10.0,14.0,22.0,37.0,34.0,20.0
6.0,8.0,2.0,12.0,5.0,5.0,1.0,4.0,9.0,6.0,7.0,4.0,10.0,4.0,6.0,10.0,6.0,11.0,6.0,10.0,8.0,10.0,5.0,11.0,10.0,17.0,12.0,8.0,24.0,38.0,44.0,25.0
4.0,8.0,8.0,2.0,9.0,5.0,12.0,3.0,7.0,7.0,3.0,10.0,6.0,7.0,4.0,10.0,7.0,7.0,10.0,12.0,8.0,9.0,10.0,7.0,19.0,24.0,13.0,11.0,33.0,33.0,28.0,25.0
6.0,11.0,3.0,2.0,5.0,3.0,1.0,8.0,7.0,4.0,3.0,8.0,9.0,12.0,8.0,6.0,12.0,9.0,10.0,8.0,7.0,12.0,10.0,17.0,11.0,12.0,15.0,11.0,26.0,33.0,36.0,20.0
12.0,2.0,10.0,2.0,4.0,2.0,6.0,9.0,2.0,11.0,7.0,6.0,4.0,8.0,7.0,6.0,8.0,5.0,10.0,5.0,13.0,12.0,9.0,12.0,13.0,25.0,13.0,15.0,20.0,39.0,28.0,25.0
7.0,2.0,4.0,3.0,1.0,3.0,3.0,10.0,7.0,6.0,3.0,8.0,8.0,10.0,5.0,4.0,8.0,3.0,10.0,7.0,10.0,11.0,9.0,7.0,8.0,13.0,16.0,11.0,26.0,36.0,36.0,31.0
2.0,4.0,6.0,6.0,9.0,3.0,7.0,3.0,4.0,4.0,12.0,11.0,13.0,6.0,7.0,8.0,9.0,14.0,7.0,7.0,10.0,10.0,7.0,12.0,9.0,16.0,15.0,16.0,23.0,38.0,30.0,31.0
3.0,4.0,3.0,7.0,9.0,5.0,3.0,3.0,15.0,3.0,8.0,9.0,4.0,12.0,9.0,9.0,6.0,8.0,8.0,7.0,10.0,12.0,4.0,12.0,11.0,19.0,15.0,8.0,32.0,29.0,27.0,25.0
5.0,4.0,11.0,7.0,10.0,2.0,4.0,14.0,3.0,4.0,5.0,2.0,4.0,4.0,12.0,4.0,14.0,9.0,10.0,9.0,13.0,9.0,10.0,7.0,15.0,14.0,10.0,16.0,22.0,40.0,34.0,25.0
4.0,2.0,1.0,6.0,5.0,6.0,2.0,4.0,8.0,15.0,7.0,3.0,7.0,11.0,5.0,10.0,4.0,8.0,7.0,12.0,9.0,10.0,11.0,8.0,8.0,22.0,12.0,11.0,35.0,32.0,37.0,30.0
