,7,8,10,12,15,13,16,19,17,20,21
0,0,1,177,3,0,12,3,6,8,6,8
1,4,4,160,0,0,14,4,0,5,8,7
2,0,1,145,1,2,13,3,0,9,5,7
3,0,3,153,0,0,9,2,0,7,4,6
4,3,3,147,0,0,9,8,2,9,8,7
5,1,0,137,0,0,8,4,0,9,5,9
6,1,1,148,1,0,10,5,1,8,8,13
7,1,7,145,0,0,9,3,0,6,6,9
8,0,2,141,0,0,11,4,0,5,5,9
9,0,8,143,1,0,13,3,5,6,3,7
10,0,1,146,2,4,13,4,0,7,6,10
11,4,0,141,5,0,16,3,0,5,4,5
12,0,0,125,1,0,10,2,0,6,8,7
13,1,2,142,1,0,8,6,0,5,6,6
14,0,7,123,1,0,12,6,2,6,3,10
15,0,0,121,0,0,10,4,2,13,4,8
16,2,1,132,0,1,11,3,0,6,3,6
17,1,1,118,1,0,11,2,0,12,8,4
18,6,2,128,2,0,10,3,4,6,5,11
19,2,1,121,2,0,10,4,4,8,7,7
20,3,2,123,0,0,9,7,2,9,7,6
21,0,0,123,1,0,10,4,2,6,7,6
22,3,1,122,1,0,8,4,0,5,7,9
23,3,7,121,0,0,9,3,0,7,8,5
24,0,1,113,0,0,9,4,0,8,3,7
25,1,2,108,0,0,14,2,0,6,3,8
26,2,0,110,3,0,12,3,1,11,4,7
27,0,0,111,0,0,11,2,0,9,8,6
28,0,1,115,0,0,11,3,1,8,6,5
29,1,3,114,0,0,12,3,0,6,6,13
30,2,2,109,0,5,17,7,3,8,6,11
31,0,1,110,1,0,12,6,1,11,6,9
32,0,0,101,3,1,12,7,0,8,5,8
33,1,0,106,3,0,12,6,0,11,5,7
34,0,4,108,0,0,11,2,0,8,3,8
35,0,0,98,0,0,10,6,1,12,11,12
36,8,0,106,0,0,10,6,1,7,6,6
37,7,4,95,0,0,11,8,1,9,4,10
38,0,0,97,0,0,10,4,0,9,4,9
39,2,0,110,0,0,8,6,2,9,10,8
40,0,4,101,1,0,12,3,0,5,3,7
41,1,1,94,1,0,11,3,0,8,11,11
42,1,1,96,0,1,10,2,1,13,5,8
43,1,7,94,1,0,10,9,2,9,6,11
44,6,3,95,0,1,11,4,0,11,5,9
45,0,0,98,5,0,10,5,0,11,6,12
46,7,8,96,3,0,13,4,1,10,8,8
47,1,3,91,2,0,11,3,1,7,9,10
48,6,2,91,0,5,10,8,1,13,5,10
49,3,2,91,0,4,10,6,0,8,6,6
50,7,2,88,5,1,10,3,5,11,11,9
51,1,0,92,2,0,9,6,2,7,5,11
52,2,2,87,5,0,10,4,3,8,5,7
53,1,0,82,1,0,14,9,1,10,4,7
54,1,7,85,0,1,10,6,1,14,4,9
55,2,2,84,6,0,11,5,1,8,4,6
56,4,2,82,2,0,12,4,1,11,4,8
57,1,6,82,3,0,11,3,1,7,6,11
58,2,1,78,4,0,10,3,7,8,6,8
59,1,2,79,0,1,10,3,3,10,12,11
60,2,2,77,1,0,10,5,1,9,11,7
61,2,2,79,1,0,11,4,2,7,4,8
62,3,1,73,2,0,15,7,1,6,5,9
63,1,1,74,1,3,11,4,1,13,10,9
64,0,1,80,3,4,11,4,1,10,4,7
65,1,0,72,1,0,13,4,0,6,7,8
66,0,5,78,1,0,11,3,0,7,5,11
67,0,0,69,4,0,10,4,0,6,3,7
