,0
0,0.0
1,0.0
2,28.0
3,0.0
4,34.0
5,0.0
6,4.0
7,0.0
8,7.0
9,7.0
10,0.0
11,40.0
12,0.0
13,51.0
14,0.0
15,8.0
16,0.0
17,8.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,1.0
28,0.0
29,3.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,2.0
36,2.0
37,0.0
38,6.0
39,0.0
40,5.0
41,0.0
42,1.0
43,0.0
44,1.0
45,3.0
46,0.0
47,3.0
48,0.0
49,3.0
50,0.0
51,1.0
52,0.0
53,0.0
54,4.0
55,0.0
56,18.0
57,0.0
58,5.0
59,0.0
60,3.0
61,0.0
62,2.0
63,5.0
64,0.0
65,20.0
66,0.0
67,12.0
68,0.0
69,3.0
70,0.0
71,1.0
72,6.0
73,0.0
74,74.0
75,0.0
76,27.0
77,0.0
78,7.0
79,0.0
80,4.0
81,7.0
82,0.0
83,67.0
84,0.0
85,49.0
86,0.0
87,6.0
88,0.0
89,9.0
90,0.0
91,0.0
92,1.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,2.0
99,1.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,1.0
106,0.0
107,0.0
108,2.0
109,0.0
110,4.0
111,0.0
112,3.0
113,0.0
114,7.0
115,0.0
116,1.0
117,3.0
118,0.0
119,4.0
120,0.0
121,5.0
122,0.0
123,2.0
124,0.0
125,0.0
126,4.0
127,0.0
128,18.0
129,0.0
130,7.0
131,0.0
132,2.0
133,0.0
134,1.0
135,5.0
136,0.0
137,20.0
138,0.0
139,12.0
140,0.0
141,2.0
142,0.0
143,0.0
144,6.0
145,0.0
146,69.0
147,0.0
148,28.0
149,0.0
150,3.0
151,0.0
152,5.0
153,7.0
154,0.0
155,68.0
156,0.0
157,47.0
158,0.0
159,10.0
160,0.0
161,10.0
162,0.0
163,0.0
164,5.0
165,0.0
166,0.0
167,0.0
168,1.0
169,0.0
170,0.0
171,1.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,1.0
178,0.0
179,0.0
180,2.0
181,0.0
182,6.0
183,0.0
184,2.0
185,0.0
186,1.0
187,0.0
188,0.0
189,3.0
190,0.0
191,3.0
192,0.0
193,5.0
194,0.0
195,7.0
196,0.0
197,0.0
198,4.0
199,0.0
200,15.0
201,0.0
202,4.0
203,0.0
204,2.0
205,0.0
206,1.0
207,5.0
208,0.0
209,19.0
210,0.0
211,15.0
212,0.0
213,3.0
214,0.0
215,0.0
216,6.0
217,0.0
218,80.0
219,0.0
220,25.0
221,0.0
222,3.0
223,0.0
224,5.0
225,7.0
226,0.0
227,62.0
228,0.0
229,44.0
230,0.0
231,5.0
232,0.0
233,9.0
234,0.0
235,0.0
236,1.0
237,0.0
238,2.0
239,0.0
240,0.0
241,0.0
242,2.0
243,1.0
244,0.0
245,0.0
246,0.0
247,5.0
248,0.0
249,1.0
250,0.0
251,0.0
252,2.0
253,0.0
254,0.0
255,0.0
256,2.0
257,0.0
258,3.0
259,0.0
260,0.0
261,3.0
262,0.0
263,7.0
264,0.0
265,6.0
266,0.0
267,3.0
268,0.0
269,0.0
270,4.0
271,0.0
272,15.0
273,0.0
274,4.0
275,0.0
276,4.0
277,0.0
278,6.0
279,5.0
280,0.0
281,22.0
282,0.0
283,14.0
284,0.0
285,2.0
286,0.0
287,0.0
288,6.0
289,0.0
290,76.0
291,0.0
292,26.0
293,0.0
294,2.0
295,0.0
296,4.0
297,7.0
298,0.0
299,64.0
300,0.0
301,44.0
302,0.0
303,10.0
304,0.0
305,7.0
306,0.0
307,0.0
308,1.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,6.0
315,1.0
316,0.0
317,1.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,2.0
325,0.0
326,1.0
327,0.0
328,3.0
329,0.0
330,2.0
331,0.0
332,0.0
333,3.0
334,0.0
335,4.0
336,0.0
337,8.0
338,0.0
339,2.0
340,0.0
341,5.0
342,4.0
343,0.0
344,14.0
345,0.0
346,7.0
347,0.0
348,2.0
349,0.0
350,0.0
351,5.0
352,0.0
353,19.0
354,0.0
355,13.0
356,0.0
357,4.0
358,0.0
359,6.0
360,6.0
361,0.0
362,73.0
363,0.0
364,26.0
365,0.0
366,2.0
367,0.0
368,4.0
369,7.0
370,0.0
371,67.0
372,0.0
373,44.0
374,0.0
375,7.0
376,0.0
377,10.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,1.0
385,0.0
386,0.0
387,1.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,1.0
394,0.0
395,1.0
396,2.0
397,0.0
398,3.0
399,0.0
400,1.0
401,0.0
402,1.0
403,0.0
404,0.0
405,3.0
406,0.0
407,5.0
408,0.0
409,5.0
410,0.0
411,1.0
412,0.0
413,0.0
414,4.0
415,0.0
416,14.0
417,0.0
418,5.0
419,0.0
420,2.0
421,0.0
422,1.0
423,5.0
424,0.0
425,21.0
426,0.0
427,15.0
428,0.0
429,3.0
430,0.0
431,1.0
432,6.0
433,0.0
434,73.0
435,0.0
436,27.0
437,0.0
438,1.0
439,0.0
440,4.0
441,7.0
442,0.0
443,64.0
444,0.0
445,45.0
446,0.0
447,7.0
448,0.0
449,10.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,1.0
457,0.0
458,0.0
459,1.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,4.0
468,2.0
469,0.0
470,0.0
471,0.0
472,4.0
473,0.0
474,8.0
475,0.0
476,0.0
477,3.0
478,0.0
479,5.0
480,0.0
481,4.0
482,0.0
483,1.0
484,0.0
485,1.0
486,4.0
487,0.0
488,13.0
489,0.0
490,6.0
491,0.0
492,0.0
493,0.0
494,0.0
495,5.0
496,0.0
497,21.0
498,0.0
499,14.0
500,0.0
501,9.0
502,0.0
503,1.0
504,6.0
505,0.0
506,71.0
507,0.0
508,26.0
509,0.0
510,4.0
511,0.0
512,5.0
513,7.0
514,0.0
515,67.0
516,0.0
517,43.0
518,0.0
519,10.0
520,0.0
521,8.0
522,0.0
523,0.0
524,5.0
525,0.0
526,0.0
527,0.0
528,1.0
529,0.0
530,2.0
531,1.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,1.0
538,0.0
539,0.0
540,2.0
541,0.0
542,1.0
543,0.0
544,5.0
545,0.0
546,0.0
547,0.0
548,0.0
549,3.0
550,0.0
551,5.0
552,0.0
553,6.0
554,0.0
555,3.0
556,0.0
557,1.0
558,4.0
559,0.0
560,15.0
561,0.0
562,5.0
563,0.0
564,1.0
565,0.0
566,0.0
567,5.0
568,0.0
569,19.0
570,0.0
571,16.0
