,0
0,0.0
1,5.0
2,0.0
3,1.0
4,0.0
5,0.0
6,0.0
7,3.0
8,1.0
9,0.0
10,6.0
11,0.0
12,3.0
13,0.0
14,1.0
15,0.0
16,0.0
17,2.0
18,0.0
19,2.0
20,0.0
21,5.0
22,0.0
23,1.0
24,0.0
25,2.0
26,3.0
27,0.0
28,15.0
29,0.0
30,8.0
31,0.0
32,2.0
33,0.0
34,0.0
35,4.0
36,0.0
37,17.0
38,0.0
39,4.0
40,0.0
41,8.0
42,0.0
43,0.0
44,5.0
45,0.0
46,25.0
47,0.0
48,14.0
49,0.0
50,2.0
51,0.0
52,1.0
53,6.0
54,0.0
55,42.0
56,0.0
57,13.0
58,0.0
59,3.0
60,0.0
61,2.0
62,7.0
63,0.0
64,19.0
65,0.0
66,16.0
67,0.0
68,3.0
69,0.0
70,7.0
71,0.0
72,0.0
73,1.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,1.0
81,0.0
82,1.0
83,0.0
84,1.0
85,0.0
86,1.0
87,0.0
88,2.0
89,2.0
90,0.0
91,7.0
92,0.0
93,3.0
94,0.0
95,4.0
96,0.0
97,1.0
98,3.0
99,0.0
100,5.0
101,0.0
102,6.0
103,0.0
104,2.0
105,0.0
106,0.0
107,4.0
108,0.0
109,17.0
110,0.0
111,7.0
112,0.0
113,3.0
114,0.0
115,0.0
116,5.0
117,0.0
118,15.0
119,0.0
120,19.0
121,0.0
122,2.0
123,0.0
124,1.0
125,6.0
126,0.0
127,21.0
128,0.0
129,25.0
130,0.0
131,1.0
132,0.0
133,2.0
134,7.0
135,0.0
136,16.0
137,0.0
138,18.0
139,0.0
140,5.0
141,0.0
142,3.0
143,0.0
144,0.0
145,0.0
146,0.0
147,3.0
148,0.0
149,0.0
150,0.0
151,2.0
152,1.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,2.0
162,0.0
163,1.0
164,0.0
165,2.0
166,0.0
167,1.0
168,0.0
169,6.0
170,3.0
171,0.0
172,9.0
173,0.0
174,7.0
175,0.0
176,0.0
177,0.0
178,0.0
179,4.0
180,0.0
181,13.0
182,0.0
183,9.0
184,0.0
185,0.0
186,0.0
187,0.0
188,5.0
189,0.0
190,18.0
191,0.0
192,23.0
193,0.0
194,4.0
195,0.0
196,0.0
197,6.0
198,0.0
199,21.0
200,0.0
201,25.0
202,0.0
203,2.0
204,0.0
205,2.0
206,7.0
207,0.0
208,16.0
209,0.0
210,18.0
211,0.0
212,5.0
213,0.0
214,9.0
215,0.0
216,0.0
217,0.0
218,0.0
219,3.0
220,0.0
221,0.0
222,0.0
223,1.0
224,1.0
225,0.0
226,3.0
227,0.0
228,0.0
229,0.0
230,5.0
231,0.0
232,2.0
233,2.0
234,0.0
235,2.0
236,0.0
237,1.0
238,0.0
239,6.0
240,0.0
241,5.0
242,3.0
243,0.0
244,5.0
245,0.0
246,5.0
247,0.0
248,6.0
249,0.0
250,5.0
251,4.0
252,0.0
253,14.0
254,0.0
255,8.0
256,0.0
257,1.0
258,0.0
259,0.0
260,5.0
261,0.0
262,15.0
263,0.0
264,21.0
265,0.0
266,2.0
267,0.0
268,4.0
269,6.0
270,0.0
271,20.0
272,0.0
273,29.0
274,0.0
275,2.0
276,0.0
277,2.0
278,7.0
279,0.0
280,16.0
281,0.0
282,23.0
283,0.0
284,5.0
285,0.0
286,3.0
287,0.0
288,0.0
289,0.0
290,0.0
291,1.0
292,0.0
293,0.0
294,0.0
295,0.0
296,1.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,2.0
305,2.0
306,0.0
307,1.0
308,0.0
309,2.0
310,0.0
311,1.0
312,0.0
313,1.0
314,3.0
315,0.0
316,6.0
317,0.0
318,7.0
319,0.0
320,0.0
321,0.0
322,0.0
323,4.0
324,0.0
325,12.0
326,0.0
327,13.0
328,0.0
329,2.0
330,0.0
331,0.0
332,5.0
333,0.0
334,20.0
335,0.0
336,18.0
337,0.0
338,3.0
339,0.0
340,0.0
341,6.0
342,0.0
343,23.0
344,0.0
345,25.0
346,0.0
347,2.0
348,0.0
349,4.0
350,7.0
351,0.0
352,12.0
353,0.0
354,20.0
355,0.0
356,9.0
357,0.0
358,7.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,1.0
369,0.0
370,1.0
371,0.0
372,0.0
373,0.0
374,1.0
375,0.0
376,3.0
377,2.0
378,0.0
379,0.0
380,0.0
381,4.0
382,0.0
383,0.0
384,0.0
385,1.0
386,3.0
387,0.0
388,4.0
389,0.0
390,8.0
391,0.0
392,0.0
393,0.0
394,1.0
395,4.0
396,0.0
397,13.0
398,0.0
399,9.0
400,0.0
401,4.0
402,0.0
403,0.0
404,5.0
405,0.0
406,18.0
407,0.0
408,17.0
409,0.0
410,4.0
411,0.0
412,1.0
413,6.0
414,0.0
415,23.0
416,0.0
417,27.0
418,0.0
419,8.0
420,0.0
421,1.0
422,7.0
423,0.0
424,17.0
425,0.0
426,20.0
427,0.0
428,2.0
429,0.0
430,4.0
431,0.0
432,0.0
433,2.0
434,0.0
435,4.0
436,0.0
437,1.0
438,0.0
439,4.0
440,1.0
441,0.0
442,1.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,1.0
449,2.0
450,0.0
451,3.0
452,0.0
453,3.0
454,0.0
455,7.0
456,0.0
457,0.0
458,3.0
459,0.0
460,4.0
461,0.0
462,6.0
463,0.0
464,0.0
465,0.0
466,1.0
467,4.0
468,0.0
469,20.0
470,0.0
471,9.0
472,0.0
473,4.0
474,0.0
475,0.0
476,5.0
477,0.0
478,17.0
479,0.0
480,17.0
481,0.0
482,3.0
483,0.0
484,0.0
485,6.0
486,0.0
487,25.0
488,0.0
489,26.0
490,0.0
491,1.0
492,0.0
493,2.0
494,7.0
495,0.0
496,21.0
497,0.0
498,18.0
499,0.0
500,5.0
501,0.0
502,3.0
503,0.0
504,0.0
505,1.0
506,0.0
507,3.0
508,0.0
509,0.0
510,0.0
