,0
0,0.0
1,0.0
2,0.0
3,0.0
4,1.0
5,0.0
6,1.0
7,0.0
8,2.0
9,0.0
10,0.0
11,0.0
12,1.0
13,2.0
14,0.0
15,2.0
16,0.0
17,6.0
18,0.0
19,0.0
20,0.0
21,0.0
22,3.0
23,0.0
24,7.0
25,0.0
26,11.0
27,0.0
28,0.0
29,0.0
30,0.0
31,4.0
32,0.0
33,12.0
34,0.0
35,10.0
36,0.0
37,8.0
38,0.0
39,0.0
40,5.0
41,0.0
42,16.0
43,0.0
44,15.0
45,0.0
46,5.0
47,0.0
48,1.0
49,6.0
50,0.0
51,20.0
52,0.0
53,22.0
54,0.0
55,2.0
56,0.0
57,2.0
58,7.0
59,0.0
60,13.0
61,0.0
62,12.0
63,0.0
64,2.0
65,0.0
66,3.0
67,0.0
68,0.0
69,0.0
70,0.0
71,1.0
72,0.0
73,3.0
74,0.0
75,0.0
76,1.0
77,0.0
78,4.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,5.0
85,2.0
86,0.0
87,1.0
88,0.0
89,6.0
90,0.0
91,5.0
92,0.0
93,0.0
94,3.0
95,0.0
96,9.0
97,0.0
98,11.0
99,0.0
100,0.0
101,0.0
102,0.0
103,4.0
104,0.0
105,22.0
106,0.0
107,4.0
108,0.0
109,3.0
110,0.0
111,0.0
112,5.0
113,0.0
114,23.0
115,0.0
116,8.0
117,0.0
118,1.0
119,0.0
120,0.0
121,6.0
122,0.0
123,28.0
124,0.0
125,10.0
126,0.0
127,1.0
128,0.0
129,2.0
130,7.0
131,0.0
132,14.0
133,0.0
134,12.0
135,0.0
136,7.0
137,0.0
138,6.0
139,0.0
140,0.0
141,5.0
142,0.0
143,5.0
144,0.0
145,0.0
146,0.0
147,1.0
148,1.0
149,0.0
150,0.0
151,0.0
152,1.0
153,0.0
154,0.0
155,0.0
156,0.0
157,2.0
158,0.0
159,2.0
160,0.0
161,6.0
162,0.0
163,0.0
164,0.0
165,5.0
166,3.0
167,0.0
168,9.0
169,0.0
170,12.0
171,0.0
172,0.0
173,0.0
174,0.0
175,4.0
176,0.0
177,21.0
178,0.0
179,6.0
180,0.0
181,4.0
182,0.0
183,0.0
184,5.0
185,0.0
186,25.0
187,0.0
188,9.0
189,0.0
190,3.0
191,0.0
192,0.0
193,6.0
194,0.0
195,31.0
196,0.0
197,15.0
198,0.0
199,0.0
200,0.0
201,1.0
202,7.0
203,0.0
204,13.0
205,0.0
206,13.0
207,0.0
208,2.0
209,0.0
210,3.0
211,0.0
212,0.0
213,0.0
214,0.0
215,1.0
216,0.0
217,0.0
218,0.0
219,1.0
220,1.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,2.0
230,0.0
231,3.0
232,0.0
233,3.0
234,0.0
235,0.0
236,0.0
237,0.0
238,3.0
239,0.0
240,8.0
241,0.0
242,9.0
243,0.0
244,0.0
245,0.0
246,0.0
247,4.0
248,0.0
249,20.0
250,0.0
251,6.0
252,0.0
253,2.0
254,0.0
255,0.0
256,5.0
257,0.0
258,25.0
259,0.0
260,8.0
261,0.0
262,8.0
263,0.0
264,6.0
265,6.0
266,0.0
267,26.0
268,0.0
269,9.0
270,0.0
271,7.0
272,0.0
273,6.0
274,7.0
275,0.0
276,11.0
277,0.0
278,16.0
279,0.0
280,2.0
281,0.0
282,6.0
283,0.0
284,0.0
285,6.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,6.0
292,1.0
293,0.0
294,1.0
295,0.0
296,0.0
297,0.0
298,1.0
299,0.0
300,0.0
301,2.0
302,0.0
303,2.0
304,0.0
305,5.0
306,0.0
307,5.0
308,0.0
309,1.0
310,3.0
311,0.0
312,12.0
313,0.0
314,5.0
315,0.0
316,2.0
317,0.0
318,0.0
319,4.0
320,0.0
321,20.0
322,0.0
323,6.0
324,0.0
325,7.0
326,0.0
327,0.0
328,5.0
329,0.0
330,25.0
331,0.0
332,8.0
333,0.0
334,4.0
335,0.0
336,0.0
337,6.0
338,0.0
339,28.0
340,0.0
341,19.0
342,0.0
343,3.0
344,0.0
345,1.0
346,7.0
347,0.0
348,12.0
349,0.0
350,14.0
351,0.0
352,6.0
353,0.0
354,3.0
355,0.0
356,0.0
357,7.0
358,0.0
359,1.0
360,0.0
361,1.0
362,0.0
363,0.0
364,1.0
365,0.0
366,0.0
367,0.0
368,1.0
369,0.0
370,0.0
371,0.0
372,1.0
373,2.0
374,0.0
375,3.0
376,0.0
377,4.0
378,0.0
379,0.0
380,0.0
381,5.0
382,3.0
383,0.0
384,10.0
385,0.0
386,7.0
387,0.0
388,0.0
389,0.0
390,0.0
391,4.0
392,0.0
393,23.0
394,0.0
395,6.0
396,0.0
397,2.0
398,0.0
399,0.0
400,5.0
401,0.0
402,30.0
403,0.0
404,10.0
405,0.0
406,10.0
407,0.0
408,1.0
409,6.0
410,0.0
411,27.0
412,0.0
413,13.0
414,0.0
415,2.0
416,0.0
417,2.0
418,7.0
419,0.0
420,16.0
421,0.0
422,11.0
423,0.0
424,4.0
425,0.0
426,4.0
427,0.0
428,0.0
429,1.0
430,0.0
431,0.0
432,0.0
433,4.0
434,0.0
435,0.0
436,1.0
437,0.0
438,6.0
439,0.0
440,1.0
441,0.0
442,0.0
443,0.0
444,0.0
445,2.0
446,0.0
447,1.0
448,0.0
449,6.0
450,0.0
451,0.0
452,0.0
453,0.0
454,3.0
455,0.0
456,13.0
457,0.0
458,8.0
459,0.0
460,0.0
461,0.0
462,0.0
463,4.0
464,0.0
465,18.0
466,0.0
467,5.0
468,0.0
469,9.0
470,0.0
471,0.0
472,5.0
473,0.0
474,27.0
475,0.0
476,11.0
477,0.0
478,4.0
479,0.0
480,1.0
481,6.0
482,0.0
483,32.0
484,0.0
485,12.0
486,0.0
487,2.0
488,0.0
489,4.0
490,7.0
491,0.0
492,14.0
493,0.0
494,10.0
495,0.0
496,2.0
497,0.0
498,4.0
499,0.0
500,0.0
501,5.0
502,0.0
503,1.0
504,0.0
505,0.0
506,0.0
507,0.0
508,1.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,2.0
518,0.0
519,1.0
520,0.0
521,4.0
522,0.0
523,0.0
524,0.0
525,0.0
526,3.0
527,0.0
528,10.0
529,0.0
530,6.0
531,0.0
532,4.0
533,0.0
534,0.0
535,4.0
536,0.0
537,20.0
538,0.0
539,5.0
540,0.0
541,0.0
542,0.0
543,4.0
544,5.0
545,0.0
546,27.0
547,0.0
548,8.0
549,0.0
550,2.0
551,0.0
552,5.0
553,6.0
554,0.0
555,30.0
556,0.0
557,12.0
558,0.0
559,6.0
560,0.0
561,1.0
562,7.0
563,0.0
564,13.0
565,0.0
566,9.0
567,0.0
568,3.0
569,0.0
570,4.0
571,0.0
