0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2.0,3.0,2.0,4.0,4.0,1.0,5.0,7.0,12.0,10.0,14.0,6.0,8.0,9.0,6.0,8.0,12.0,5.0,8.0,17.0,18.0,17.0,14.0,9.0,14.0,25.0,23.0,14.0,39.0,49.0,53.0,32.0
2.0,6.0,8.0,1.0,9.0,6.0,7.0,3.0,9.0,6.0,3.0,13.0,3.0,3.0,8.0,11.0,6.0,6.0,8.0,6.0,10.0,12.0,9.0,8.0,21.0,21.0,23.0,19.0,36.0,48.0,45.0,31.0
5.0,3.0,10.0,7.0,9.0,2.0,5.0,10.0,4.0,14.0,14.0,9.0,5.0,11.0,6.0,4.0,5.0,6.0,7.0,7.0,20.0,9.0,7.0,7.0,21.0,27.0,20.0,24.0,35.0,51.0,46.0,39.0
5.0,3.0,6.0,6.0,4.0,4.0,7.0,12.0,6.0,8.0,3.0,4.0,6.0,5.0,6.0,6.0,9.0,5.0,14.0,6.0,16.0,9.0,12.0,16.0,15.0,25.0,24.0,21.0,41.0,57.0,34.0,21.0
8.0,5.0,3.0,6.0,8.0,6.0,3.0,2.0,7.0,7.0,3.0,9.0,10.0,7.0,9.0,8.0,9.0,5.0,9.0,9.0,13.0,14.0,8.0,9.0,15.0,28.0,17.0,25.0,40.0,48.0,45.0,38.0
12.0,6.0,7.0,6.0,9.0,2.0,2.0,13.0,5.0,5.0,7.0,3.0,6.0,5.0,6.0,5.0,6.0,15.0,5.0,13.0,18.0,17.0,12.0,8.0,16.0,17.0,24.0,28.0,34.0,44.0,33.0,29.0
10.0,2.0,3.0,5.0,3.0,3.0,6.0,4.0,6.0,3.0,7.0,4.0,5.0,13.0,7.0,4.0,12.0,12.0,8.0,15.0,8.0,10.0,8.0,14.0,20.0,18.0,20.0,11.0,48.0,52.0,49.0,30.0
8.0,2.0,8.0,1.0,10.0,2.0,3.0,3.0,11.0,6.0,7.0,8.0,4.0,15.0,4.0,9.0,7.0,5.0,14.0,8.0,12.0,9.0,17.0,5.0,14.0,24.0,23.0,20.0,51.0,51.0,33.0,28.0
9.0,6.0,4.0,5.0,10.0,6.0,1.0,2.0,3.0,6.0,9.0,12.0,4.0,3.0,6.0,8.0,9.0,7.0,6.0,10.0,13.0,13.0,8.0,13.0,15.0,22.0,26.0,22.0,30.0,49.0,55.0,30.0
4.0,2.0,5.0,5.0,9.0,9.0,5.0,7.0,6.0,8.0,5.0,4.0,4.0,5.0,4.0,13.0,7.0,7.0,6.0,13.0,12.0,17.0,17.0,7.0,14.0,18.0,23.0,22.0,32.0,56.0,34.0,32.0
2.0,1.0,6.0,5.0,1.0,7.0,4.0,5.0,4.0,6.0,5.0,5.0,7.0,4.0,4.0,8.0,13.0,8.0,11.0,9.0,10.0,13.0,13.0,8.0,13.0,22.0,20.0,22.0,40.0,45.0,46.0,36.0
5.0,2.0,1.0,4.0,3.0,6.0,4.0,2.0,7.0,9.0,3.0,7.0,9.0,3.0,10.0,8.0,6.0,8.0,12.0,11.0,12.0,11.0,7.0,15.0,14.0,20.0,20.0,13.0,37.0,50.0,41.0,25.0
7.0,5.0,9.0,2.0,8.0,4.0,1.0,8.0,7.0,9.0,8.0,6.0,11.0,14.0,5.0,7.0,10.0,6.0,4.0,8.0,14.0,17.0,11.0,9.0,9.0,22.0,17.0,24.0,38.0,48.0,36.0,23.0
1.0,5.0,4.0,6.0,6.0,5.0,4.0,2.0,5.0,4.0,3.0,6.0,4.0,11.0,9.0,3.0,10.0,11.0,11.0,11.0,14.0,13.0,8.0,11.0,20.0,22.0,23.0,16.0,31.0,55.0,41.0,41.0
9.0,7.0,9.0,11.0,1.0,2.0,2.0,7.0,9.0,6.0,5.0,10.0,6.0,11.0,13.0,7.0,6.0,16.0,7.0,7.0,8.0,10.0,8.0,7.0,21.0,29.0,17.0,19.0,47.0,54.0,51.0,32.0
5.0,2.0,2.0,9.0,12.0,3.0,1.0,7.0,4.0,8.0,6.0,7.0,4.0,12.0,5.0,3.0,13.0,6.0,9.0,7.0,13.0,11.0,9.0,7.0,17.0,23.0,20.0,21.0,31.0,47.0,49.0,36.0
3.0,4.0,7.0,4.0,2.0,1.0,7.0,12.0,10.0,8.0,3.0,10.0,6.0,7.0,5.0,10.0,6.0,7.0,7.0,10.0,9.0,17.0,17.0,8.0,24.0,26.0,24.0,15.0,48.0,56.0,38.0,35.0
8.0,7.0,15.0,1.0,5.0,6.0,5.0,13.0,10.0,1.0,5.0,7.0,7.0,13.0,4.0,3.0,19.0,4.0,15.0,6.0,7.0,10.0,15.0,8.0,23.0,19.0,15.0,20.0,55.0,57.0,45.0,34.0
9.0,9.0,9.0,0.0,1.0,4.0,9.0,6.0,3.0,7.0,5.0,5.0,11.0,3.0,7.0,6.0,2.0,7.0,13.0,5.0,19.0,17.0,7.0,11.0,17.0,23.0,13.0,23.0,47.0,54.0,40.0,33.0
5.0,4.0,5.0,2.0,6.0,2.0,3.0,5.0,1.0,11.0,5.0,7.0,7.0,7.0,4.0,6.0,5.0,9.0,8.0,4.0,16.0,21.0,11.0,10.0,19.0,22.0,18.0,16.0,38.0,49.0,36.0,29.0
