,0
0,0.0
1,59.0
2,0.0
3,51.0
4,0.0
5,37.0
6,0.0
7,32.0
8,0.0
9,3.0
10,209.0
11,0.0
12,17.0
13,0.0
14,19.0
15,0.0
16,11.0
17,1.0
18,4.0
19,99.0
20,0.0
21,18.0
22,0.0
23,27.0
24,0.0
25,11.0
26,2.0
27,1.0
28,171.0
29,0.0
30,45.0
31,0.0
32,37.0
33,0.0
34,6.0
35,3.0
36,0.0
37,171.0
38,0.0
39,49.0
40,0.0
41,30.0
42,0.0
43,13.0
44,4.0
45,0.0
46,115.0
47,0.0
48,54.0
49,0.0
50,38.0
51,0.0
52,18.0
53,5.0
54,0.0
55,91.0
56,0.0
57,56.0
58,0.0
59,44.0
60,0.0
61,29.0
62,6.0
63,0.0
64,77.0
65,0.0
66,49.0
67,0.0
68,30.0
69,0.0
70,33.0
71,7.0
72,0.0
73,60.0
74,0.0
75,50.0
76,0.0
77,39.0
78,0.0
79,30.0
80,0.0
81,3.0
82,137.0
83,0.0
84,16.0
85,0.0
86,20.0
87,0.0
88,11.0
89,1.0
90,4.0
91,86.0
92,0.0
93,18.0
94,0.0
95,22.0
96,0.0
97,16.0
98,2.0
99,1.0
100,174.0
101,0.0
102,48.0
103,0.0
104,36.0
105,0.0
106,5.0
107,3.0
108,0.0
109,171.0
110,0.0
111,48.0
112,0.0
113,30.0
114,0.0
115,13.0
116,4.0
117,0.0
118,115.0
119,0.0
120,49.0
121,0.0
122,39.0
123,0.0
124,18.0
125,5.0
126,0.0
127,91.0
128,0.0
129,56.0
130,0.0
131,46.0
132,0.0
133,29.0
134,6.0
135,0.0
136,77.0
137,0.0
138,50.0
139,0.0
140,32.0
141,0.0
142,32.0
143,7.0
144,0.0
145,60.0
146,0.0
147,53.0
148,0.0
149,33.0
150,0.0
151,32.0
152,0.0
153,3.0
154,118.0
155,0.0
156,16.0
157,0.0
158,21.0
159,0.0
160,16.0
161,1.0
162,4.0
163,66.0
164,0.0
165,18.0
166,0.0
167,22.0
168,0.0
169,13.0
170,2.0
171,1.0
172,170.0
173,0.0
174,43.0
175,0.0
176,30.0
177,0.0
178,5.0
179,3.0
180,0.0
181,166.0
182,0.0
183,49.0
184,0.0
185,29.0
186,0.0
187,10.0
188,4.0
189,0.0
190,116.0
191,0.0
192,51.0
193,0.0
194,40.0
195,0.0
196,18.0
197,5.0
198,0.0
199,92.0
200,0.0
201,57.0
202,0.0
203,40.0
204,0.0
205,29.0
206,6.0
207,0.0
208,73.0
209,0.0
210,51.0
211,0.0
212,27.0
213,0.0
214,32.0
215,7.0
216,0.0
217,59.0
218,0.0
219,51.0
220,0.0
221,35.0
222,0.0
223,32.0
224,0.0
225,3.0
226,105.0
227,0.0
228,20.0
229,0.0
230,19.0
231,0.0
232,13.0
233,1.0
234,4.0
235,50.0
236,0.0
237,18.0
238,0.0
239,22.0
240,0.0
241,12.0
242,2.0
243,1.0
244,172.0
245,0.0
246,44.0
247,0.0
248,31.0
249,0.0
250,10.0
251,3.0
252,0.0
253,167.0
254,0.0
255,51.0
256,0.0
257,31.0
258,0.0
259,8.0
260,4.0
261,0.0
262,119.0
263,0.0
264,50.0
265,0.0
266,39.0
267,0.0
268,23.0
269,5.0
270,0.0
271,92.0
272,0.0
273,57.0
274,0.0
275,41.0
276,0.0
277,32.0
278,6.0
279,0.0
280,73.0
281,0.0
282,48.0
283,0.0
284,28.0
285,0.0
286,32.0
287,7.0
288,0.0
289,62.0
290,0.0
291,49.0
292,0.0
293,33.0
294,0.0
295,32.0
296,0.0
297,3.0
298,90.0
299,0.0
300,20.0
301,0.0
302,20.0
303,0.0
304,12.0
305,1.0
306,4.0
307,27.0
308,0.0
309,18.0
310,0.0
311,23.0
312,0.0
313,11.0
314,2.0
315,1.0
316,175.0
