,0
0,0.0
1,0.0
2,29.0
3,0.0
4,22.0
5,0.0
6,3.0
7,3.0
8,0.0
9,175.0
10,0.0
11,37.0
12,0.0
13,17.0
14,0.0
15,3.0
16,4.0
17,0.0
18,90.0
19,0.0
20,35.0
21,0.0
22,26.0
23,0.0
24,12.0
25,5.0
26,0.0
27,63.0
28,0.0
29,32.0
30,0.0
31,34.0
32,0.0
33,19.0
34,6.0
35,0.0
36,44.0
37,0.0
38,31.0
39,0.0
40,18.0
41,0.0
42,21.0
43,7.0
44,0.0
45,39.0
46,0.0
47,31.0
48,0.0
49,20.0
50,0.0
51,23.0
52,0.0
53,0.0
54,53.0
55,0.0
56,5.0
57,0.0
58,14.0
59,0.0
60,10.0
61,1.0
62,0.0
63,198.0
64,0.0
65,12.0
66,0.0
67,16.0
68,0.0
69,6.0
70,2.0
71,4.0
72,98.0
73,0.0
74,27.0
75,0.0
76,15.0
77,0.0
78,7.0
79,3.0
80,0.0
81,132.0
82,0.0
83,34.0
84,0.0
85,20.0
86,0.0
87,4.0
88,4.0
89,0.0
90,90.0
91,0.0
92,37.0
93,0.0
94,25.0
95,0.0
96,7.0
97,5.0
98,0.0
99,63.0
100,0.0
101,34.0
102,0.0
103,23.0
104,0.0
105,24.0
106,6.0
107,0.0
108,49.0
109,0.0
110,33.0
111,0.0
112,21.0
113,0.0
114,20.0
115,7.0
116,0.0
117,34.0
118,0.0
119,36.0
120,0.0
121,21.0
122,0.0
123,15.0
124,0.0
125,0.0
126,65.0
127,0.0
128,8.0
129,0.0
130,15.0
131,0.0
132,10.0
133,1.0
134,0.0
135,194.0
136,0.0
137,9.0
138,0.0
139,17.0
140,0.0
141,6.0
142,2.0
143,4.0
144,85.0
145,0.0
146,27.0
147,0.0
148,18.0
149,0.0
150,4.0
151,3.0
152,0.0
153,127.0
154,0.0
155,27.0
156,0.0
157,21.0
158,0.0
159,5.0
160,4.0
161,0.0
162,91.0
163,0.0
164,38.0
165,0.0
166,28.0
167,0.0
168,8.0
169,5.0
170,0.0
171,54.0
172,0.0
173,38.0
174,0.0
175,23.0
176,0.0
177,20.0
178,6.0
179,0.0
180,55.0
181,0.0
182,33.0
183,0.0
184,22.0
185,0.0
186,22.0
187,7.0
188,0.0
189,37.0
190,0.0
191,33.0
192,0.0
193,24.0
194,0.0
195,15.0
196,0.0
197,0.0
198,59.0
199,0.0
200,4.0
201,0.0
202,12.0
203,0.0
204,10.0
205,1.0
206,0.0
207,188.0
208,0.0
209,14.0
210,0.0
211,16.0
212,0.0
213,6.0
214,2.0
215,4.0
216,76.0
217,0.0
218,26.0
219,0.0
220,19.0
221,0.0
222,2.0
223,3.0
224,0.0
225,127.0
226,0.0
227,31.0
228,0.0
229,21.0
230,0.0
231,5.0
232,4.0
233,0.0
234,91.0
235,0.0
236,37.0
237,0.0
238,27.0
239,0.0
240,12.0
241,5.0
242,0.0
243,59.0
244,0.0
245,35.0
246,0.0
247,24.0
248,0.0
249,23.0
250,6.0
251,0.0
252,52.0
253,0.0
254,27.0
255,0.0
256,16.0
257,0.0
258,21.0
259,7.0
260,0.0
261,37.0
262,0.0
263,38.0
264,0.0
265,21.0
266,0.0
267,15.0
268,0.0
269,0.0
270,61.0
271,0.0
272,4.0
273,0.0
274,10.0
275,0.0
276,10.0
277,1.0
278,0.0
279,189.0
280,0.0
281,12.0
282,0.0
283,18.0
284,0.0
285,7.0
286,2.0
287,4.0
288,54.0
289,0.0
290,29.0
291,0.0
292,17.0
293,0.0
294,8.0
295,3.0
296,0.0
297,126.0
298,0.0
299,32.0
300,0.0
301,21.0
302,0.0
303,5.0
304,4.0
305,0.0
306,90.0
307,0.0
308,34.0
309,0.0
310,27.0
311,0.0
312,11.0
313,5.0
314,0.0
315,57.0
316,0.0
317,36.0
318,0.0
319,21.0
320,0.0
321,22.0
322,6.0
323,0.0
324,51.0
325,0.0
326,27.0
327,0.0
328,21.0
329,0.0
330,20.0
331,7.0
332,0.0
333,36.0
334,0.0
335,39.0
336,0.0
337,24.0
338,0.0
339,21.0
340,0.0
341,0.0
342,62.0
343,0.0
344,2.0
345,0.0
346,12.0
347,0.0
348,8.0
349,1.0
350,0.0
351,179.0
352,0.0
353,12.0
354,0.0
355,15.0
356,0.0
357,4.0
358,2.0
359,4.0
360,64.0
361,0.0
362,27.0
363,0.0
364,16.0
365,0.0
366,3.0
367,3.0
368,0.0
369,133.0
370,0.0
371,29.0
372,0.0
373,17.0
374,0.0
375,4.0
376,4.0
377,0.0
378,90.0
379,0.0
380,41.0
381,0.0
382,27.0
383,0.0
384,9.0
385,5.0
386,0.0
387,59.0
388,0.0
389,36.0
390,0.0
391,22.0
392,0.0
393,18.0
394,6.0
395,0.0
396,50.0
397,0.0
398,30.0
399,0.0
400,19.0
401,0.0
402,18.0
403,7.0
404,0.0
405,34.0
406,0.0
407,35.0
408,0.0
409,20.0
410,0.0
411,19.0
412,0.0
413,0.0
414,62.0
415,0.0
416,8.0
417,0.0
418,14.0
419,0.0
420,7.0
421,1.0
422,0.0
423,167.0
424,0.0
425,12.0
426,0.0
427,11.0
428,0.0
429,8.0
430,2.0
431,4.0
432,53.0
433,0.0
434,23.0
435,0.0
436,16.0
437,0.0
438,5.0
439,3.0
440,0.0
441,126.0
442,0.0
443,30.0
444,0.0
445,21.0
446,0.0
447,3.0
448,4.0
449,0.0
450,87.0
451,0.0
452,37.0
453,0.0
454,25.0
455,0.0
456,11.0
457,5.0
458,0.0
459,61.0
460,0.0
461,34.0
462,0.0
463,23.0
464,0.0
465,20.0
466,6.0
467,0.0
468,49.0
469,0.0
470,31.0
471,0.0
472,22.0
473,0.0
474,17.0
475,7.0
476,0.0
477,37.0
478,0.0
479,35.0
480,0.0
481,21.0
482,0.0
483,19.0
484,0.0
485,0.0
486,64.0
487,0.0
488,4.0
489,0.0
490,13.0
491,0.0
492,8.0
493,1.0
494,0.0
495,169.0
496,0.0
497,9.0
498,0.0
499,16.0
500,0.0
501,5.0
502,2.0
503,4.0
504,21.0
505,0.0
506,26.0
507,0.0
508,17.0
509,0.0
510,6.0
511,3.0
512,0.0
513,131.0
514,0.0
515,29.0
516,0.0
517,23.0
518,0.0
519,4.0
520,4.0
521,0.0
522,88.0
523,0.0
524,37.0
525,0.0
526,26.0
527,0.0
528,12.0
529,5.0
530,0.0
531,60.0
532,0.0
533,34.0
534,0.0
535,25.0
536,0.0
537,20.0
538,6.0
539,0.0
540,49.0
541,0.0
542,36.0
543,0.0
544,20.0
545,0.0
546,19.0
547,7.0
548,0.0
549,33.0
550,0.0
551,36.0
552,0.0
553,22.0
554,0.0
555,16.0
556,0.0
557,0.0
558,63.0
559,0.0
560,8.0
561,0.0
562,13.0
563,0.0
564,8.0
565,1.0
566,0.0
567,165.0
568,0.0
569,11.0
570,0.0
571,15.0
