0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
3.0,11.0,16.0,2.0,7.0,9.0,9.0,3.0,8.0,10.0,11.0,10.0,6.0,14.0,6.0,12.0,12.0,15.0,10.0,9.0,17.0,10.0,6.0,11.0,13.0,19.0,17.0,20.0,30.0,51.0,27.0,22.0
5.0,1.0,5.0,2.0,2.0,3.0,6.0,3.0,4.0,8.0,10.0,2.0,3.0,10.0,8.0,7.0,8.0,7.0,11.0,10.0,14.0,7.0,14.0,8.0,16.0,23.0,16.0,13.0,36.0,38.0,40.0,23.0
1.0,4.0,3.0,3.0,4.0,8.0,6.0,4.0,10.0,6.0,6.0,10.0,3.0,4.0,7.0,9.0,9.0,10.0,5.0,15.0,17.0,20.0,8.0,8.0,13.0,12.0,16.0,18.0,31.0,32.0,35.0,21.0
5.0,8.0,3.0,4.0,2.0,8.0,6.0,4.0,5.0,8.0,3.0,2.0,5.0,7.0,5.0,4.0,11.0,7.0,7.0,5.0,11.0,16.0,4.0,10.0,10.0,20.0,14.0,27.0,21.0,51.0,35.0,27.0
6.0,17.0,8.0,2.0,9.0,2.0,10.0,5.0,9.0,4.0,3.0,4.0,4.0,3.0,10.0,7.0,7.0,6.0,11.0,9.0,9.0,12.0,15.0,7.0,12.0,12.0,19.0,14.0,31.0,39.0,27.0,30.0
5.0,2.0,5.0,4.0,6.0,2.0,10.0,9.0,12.0,7.0,7.0,7.0,9.0,10.0,6.0,10.0,6.0,5.0,4.0,12.0,13.0,11.0,7.0,7.0,7.0,19.0,13.0,15.0,25.0,38.0,24.0,30.0
4.0,2.0,9.0,3.0,8.0,5.0,5.0,10.0,4.0,5.0,7.0,9.0,5.0,9.0,5.0,15.0,3.0,15.0,10.0,15.0,10.0,12.0,8.0,10.0,18.0,19.0,17.0,17.0,23.0,52.0,39.0,33.0
14.0,9.0,6.0,1.0,6.0,2.0,14.0,3.0,9.0,4.0,7.0,4.0,9.0,3.0,11.0,8.0,6.0,6.0,16.0,7.0,8.0,11.0,7.0,12.0,11.0,11.0,14.0,12.0,29.0,39.0,33.0,23.0
8.0,4.0,9.0,6.0,5.0,9.0,3.0,10.0,5.0,15.0,4.0,3.0,10.0,7.0,11.0,6.0,7.0,10.0,6.0,6.0,14.0,17.0,12.0,8.0,10.0,23.0,12.0,19.0,27.0,31.0,30.0,23.0
2.0,9.0,6.0,3.0,5.0,6.0,8.0,4.0,7.0,14.0,9.0,8.0,6.0,16.0,4.0,10.0,4.0,6.0,10.0,10.0,11.0,9.0,15.0,17.0,13.0,16.0,13.0,19.0,23.0,41.0,36.0,22.0
10.0,6.0,6.0,2.0,2.0,10.0,6.0,4.0,3.0,10.0,9.0,7.0,5.0,7.0,11.0,5.0,10.0,5.0,6.0,6.0,8.0,9.0,8.0,13.0,12.0,21.0,16.0,14.0,32.0,37.0,27.0,38.0
